"item","element_type","width_m","height_m","area_m2","glass_supply_model","wind_load","thermal_performance","price_material_gbp","price_glass_unit_gbp","labour_work_gbp","coating_type","coating_total_gbp","margin_gbp","final_price_gbp","fabrication_time_h"
"1","Fixed window","1","1","1","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","< 0.9 W/m²K","285","52,05","31","Pre-anodized + Qualicoat Class 1","138","161,517","667,567","4"
"2","Fixed window","1","1","1","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","< 0.9 W/m²K","285","0","16","Pre-anodized + Qualicoat Class 1","138","122,55","561,55","4"
"3","Fixed window","1","1","1","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","275","40","31","Pre-anodized + Qualicoat Class 1","138","154,02","638,02","4"
"4","Fixed window","1","1","1","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","275","0","16","Pre-anodized + Qualicoat Class 1","138","118,25","547,25","4"
"5","Fixed window","1","1","1","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","250","35","31","Pre-anodized + Qualicoat Class 1","138","143,82","597,82","4"
"6","Fixed window","1","1","1","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","250","0","16","Pre-anodized + Qualicoat Class 1","138","107,5","511,5","4"
"7","Fixed window","1","1","1","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","300","54","31","Pre-anodized + Qualicoat Class 1","138","167,28","690,28","4"
"8","Fixed window","1","1","1","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","300","0","16","Pre-anodized + Qualicoat Class 1","138","129","583","4"
"9","Fixed window","1","1","1","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","300","40","31","Pre-anodized + Qualicoat Class 1","138","162,52","671,52","4"
"10","Fixed window","1","1","1","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","300","0","16","Pre-anodized + Qualicoat Class 1","138","129","583","4"
"11","Fixed window","1","1","1","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","300","35","31","Pre-anodized + Qualicoat Class 1","138","160,82","664,82","4"
"12","Fixed window","1","1","1","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","300","0","16","Pre-anodized + Qualicoat Class 1","138","129","583","4"
"13","Fixed window","1","1","1","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","< 0.9 W/m²K","285","52,05","31","Qualicoat Class 2","168","171,717","707,767","4"
"14","Fixed window","1","1","1","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","< 0.9 W/m²K","285","0","16","Qualicoat Class 2","168","122,55","591,55","4"
"15","Fixed window","1","1","1","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","275","40","31","Qualicoat Class 2","168","164,22","678,22","4"
"16","Fixed window","1","1","1","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","275","0","16","Qualicoat Class 2","168","118,25","577,25","4"
"17","Fixed window","1","1","1","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","250","35","31","Qualicoat Class 2","168","154,02","638,02","4"
"18","Fixed window","1","1","1","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","250","0","16","Qualicoat Class 2","168","107,5","541,5","4"
"19","Fixed window","1","1","1","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","300","54","31","Qualicoat Class 2","168","177,48","730,48","4"
"20","Fixed window","1","1","1","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","300","0","16","Qualicoat Class 2","168","129","613","4"
"21","Fixed window","1","1","1","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","300","40","31","Qualicoat Class 2","168","172,72","711,72","4"
"22","Fixed window","1","1","1","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","300","0","16","Qualicoat Class 2","168","129","613","4"
"23","Fixed window","1","1","1","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","300","35","31","Qualicoat Class 2","168","171,02","705,02","4"
"24","Fixed window","1","1","1","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","300","0","16","Qualicoat Class 2","168","129","613","4"
"25","Fixed window","1","1","1","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","< 0.9 W/m²K","285","52,05","31","Qualicoat Seaside","268","205,717","841,767","4"
"26","Fixed window","1","1","1","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","< 0.9 W/m²K","285","0","16","Qualicoat Seaside","268","122,55","691,55","4"
"27","Fixed window","1","1","1","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","275","40","31","Qualicoat Seaside","268","198,22","812,22","4"
"28","Fixed window","1","1","1","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","275","0","16","Qualicoat Seaside","268","118,25","677,25","4"
